,hotel,office
94,-154.6698512,0
95,-90.98927671,0
96,-68.22280626,0
97,-54.07264991,0
98,-45.24835378,0
99,-43.57973306,0
100,-49.05177907,0
101,-70.73184465,0
102,-141.6356421,0
103,-195.3135729,0
104,-145.1967681,0
105,-145.933348,0
106,-127.3925917,0
107,-92.12367658,0
108,-79.91508373,0
109,-70.40287225,0
110,-65.21929083,0
111,-64.01923491,0
112,-61.97750525,0
113,-91.93514998,0
114,-139.3542946,0
115,-139.0985823,0
116,-156.1651045,0
117,-191.28169,0
118,-146.6756794,0
119,-90.86267324,0
120,-69.06492456,0
121,-53.74069835,0
122,-47.97658405,0
123,-45.27481408,0
124,-47.08929055,0
125,-69.76878854,0
126,-142.7459825,0
127,-197.9467455,0
128,-131.093789,0
129,-99.97587405,0
130,-66.97700646,0
131,-47.38059964,0
132,-44.73088385,0
133,-46.27650276,0
134,-44.0240906,0
135,-46.18606554,0
136,-47.64675604,0
137,-80.07537135,0
138,-130.8566319,0
139,-116.6937962,0
140,-129.5658497,0
141,-162.9598993,0
142,-119.2453535,0
143,-64.36749043,0
144,-42.5583369,0
145,-29.62741051,0
146,-20.50205678,0
147,-15.48654147,0
148,-18.73419474,0
149,-24.39058384,0
150,-69.58120262,0
151,-136.8713656,0
152,-203.9076902,0
153,-157.0715142,0
154,-104.2100165,0
155,-84.9621416,0
156,-71.48994022,0
157,-68.78047223,0
158,-65.88782133,0
159,-62.9153606,0
160,-54.12508261,0
161,-79.02139321,0
162,-113.5504554,0
163,-144.6690554,0
164,-165.8673785,0
165,-153.4725853,0
166,-152.6489994,0
167,-114.8419043,0
168,-96.27538529,0
169,-122.7438114,0
170,-96.38872157,0
171,-73.18996954,0
172,-55.50163259,0
173,-75.3230655,0
174,-107.0129471,0
175,-168.4850546,0
176,-231.6813265,0
177,-169.0547487,0
178,-114.6861901,0
179,-105.9257678,0
180,-56.22876503,0
181,-55.77902802,0
182,-62.43244428,0
183,-68.07531572,0
184,-69.90535103,0
185,-90.89944018,0
186,-119.1566709,0
187,-152.2643714,0
188,-177.4883146,0
189,-184.4045162,0
190,-185.1129718,0
191,-132.2112067,0
192,-166.7084438,0
193,-125.913601,0
194,-109.7327489,0
195,-81.84063283,0
196,-83.14365379,0
197,-113.1725273,0
198,-183.2205351,0
199,-237.0979153,0
200,-177.908469,0
201,-169.8218709,0
202,-143.2388472,0
203,-82.77870617,0
204,-78.74591866,0
205,-96.60193233,0
206,-102.7509979,0
207,-106.8443542,0
208,-103.8986595,0
209,-129.8616946,0
210,-176.6536121,0
211,-181.3539626,0
212,-202.1224245,0
213,-227.1181538,0
214,-184.2806774,0
215,-136.021868,0
216,-113.4604357,0
217,-100.6327532,0
218,-96.03040482,0
219,-93.21787872,0
220,-97.7921683,0
221,-120.2220146,0
222,-191.5243498,0
223,-248.9508619,0
224,-187.7286221,0
225,-171.2253588,0
226,-145.7666535,0
227,-127.6903222,0
228,-118.7628074,0
229,-116.6272192,0
230,-115.0486672,0
231,-200.4416377,0
232,-160.9637908,0
233,-175.6061805,0
234,-206.2298661,0
235,-193.1287786,0
236,-208.2845311,0
237,-235.9666129,0
238,-187.4204958,0
239,-133.3007967,0
240,-112.7727943,0
241,-98.99953869,0
242,-92.46947914,0
243,-89.20579054,0
244,-93.08447076,0
245,-114.5121861,0
246,-184.7208852,0
247,-242.0259888,0
248,-179.9877962,0
249,-159.4878472,0
250,-126.9169675,0
251,-106.4323448,0
252,-102.7331388,0
253,-103.9749056,0
254,-105.2976557,0
255,-103.5059033,0
256,-103.9033173,0
257,-135.756013,0
258,-182.8383682,0
259,-181.7468519,0
260,-197.9387599,0
261,-233.3285128,0
262,-185.993447,0
263,-129.8203507,0
264,-111.0155649,0
265,-96.01183309,0
266,-87.74676,0
267,-83.50225754,0
268,-88.02224414,0
269,-109.8487681,0
270,-178.7430616,0
271,-234.1131238,0
272,-176.6923767,0
273,-168.4408573,0
274,-145.69402,0
275,-138.8665427,0
276,-130.9447118,0
