,hotel,office,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
115,-251.9070265,-63.54511241,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677,-1.74958677
116,-277.780981,-47.46261634,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021,-1.617416021
117,-257.726595,-46.17822074,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486,-1.471397486
118,-195.8138296,-26.80416012,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387,-1.188609387
119,-130.6206649,-24.12374411,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038,-0.908137038
120,-90.53039395,-24.12374411,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984,-0.63112984
121,-83.09097007,-24.12374411,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097,-0.51965097
122,-75.16520899,-24.69826253,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818,-0.47626818
123,-75.15766095,-25.08127481,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207,-0.46424207
124,-75.15766095,-24.88976867,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275,-0.461760275
125,-95.40940174,-27.76169082,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251,-0.513042251
