,hotel,office,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
6252,-107.6688536,-1.707928246,-0.487160448,-0.487160448,-0.487160448,-0.487160448,-0.487160448,-0.487160448,-0.487160448,-0.487160448,-0.487160448,-0.487160448
6253,-107.5235683,-1.70721499,-0.448575533,-0.448575533,-0.448575533,-0.448575533,-0.448575533,-0.448575533,-0.448575533,-0.448575533,-0.448575533,-0.448575533
6254,-106.2973893,-1.706841834,-0.452516273,-0.452516273,-0.452516273,-0.452516273,-0.452516273,-0.452516273,-0.452516273,-0.452516273,-0.452516273,-0.452516273
6255,-82.04364168,-1.707404598,-0.495545352,-0.495545352,-0.495545352,-0.495545352,-0.495545352,-0.495545352,-0.495545352,-0.495545352,-0.495545352,-0.495545352
6256,-120.7087391,-0.860930959,-0.5883098,-0.5883098,-0.5883098,-0.5883098,-0.5883098,-0.5883098,-0.5883098,-0.5883098,-0.5883098,-0.5883098
6257,-217.6099101,-0.860867822,-0.674088767,-0.674088767,-0.674088767,-0.674088767,-0.674088767,-0.674088767,-0.674088767,-0.674088767,-0.674088767,-0.674088767
6258,-166.0761731,-1.034997684,-0.688591068,-0.688591068,-0.688591068,-0.688591068,-0.688591068,-0.688591068,-0.688591068,-0.688591068,-0.688591068,-0.688591068
6259,-160.7229575,-2.573718088,-0.637582178,-0.637582178,-0.637582178,-0.637582178,-0.637582178,-0.637582178,-0.637582178,-0.637582178,-0.637582178,-0.637582178
6260,-242.730853,-4.120383437,-0.575612154,-0.575612154,-0.575612154,-0.575612154,-0.575612154,-0.575612154,-0.575612154,-0.575612154,-0.575612154,-0.575612154
6261,-179.315911,-0.860359818,-0.476937367,-0.476937367,-0.476937367,-0.476937367,-0.476937367,-0.476937367,-0.476937367,-0.476937367,-0.476937367,-0.476937367
6262,-105.2899786,-0.0156,-0.371201079,-0.371201079,-0.371201079,-0.371201079,-0.371201079,-0.371201079,-0.371201079,-0.371201079,-0.371201079,-0.371201079
6263,-80.76888927,-0.860321528,-0.259113847,-0.259113847,-0.259113847,-0.259113847,-0.259113847,-0.259113847,-0.259113847,-0.259113847,-0.259113847,-0.259113847
6264,-56.65146097,-0.0156,-0.209055336,-0.209055336,-0.209055336,-0.209055336,-0.209055336,-0.209055336,-0.209055336,-0.209055336,-0.209055336,-0.209055336
6265,-60.97587971,-0.860321666,-0.195822325,-0.195822325,-0.195822325,-0.195822325,-0.195822325,-0.195822325,-0.195822325,-0.195822325,-0.195822325,-0.195822325
6266,-62.77721409,-0.0156,-0.20167458,-0.20167458,-0.20167458,-0.20167458,-0.20167458,-0.20167458,-0.20167458,-0.20167458,-0.20167458,-0.20167458
6267,-86.76237266,-0.0156,-0.252822713,-0.252822713,-0.252822713,-0.252822713,-0.252822713,-0.252822713,-0.252822713,-0.252822713,-0.252822713,-0.252822713
6268,-149.4666294,-0.860411038,-0.60089484,-0.60089484,-0.60089484,-0.60089484,-0.60089484,-0.60089484,-0.60089484,-0.60089484,-0.60089484,-0.60089484
6269,-245.8073063,-14.94473822,-0.985145541,-0.985145541,-0.985145541,-0.985145541,-0.985145541,-0.985145541,-0.985145541,-0.985145541,-0.985145541,-0.985145541
6270,-319.6593007,-12.19915373,-1.013422878,-1.013422878,-1.013422878,-1.013422878,-1.013422878,-1.013422878,-1.013422878,-1.013422878,-1.013422878,-1.013422878
6271,-246.5213353,-4.524576989,-1.000439861,-1.000439861,-1.000439861,-1.000439861,-1.000439861,-1.000439861,-1.000439861,-1.000439861,-1.000439861,-1.000439861
6272,-185.1316507,-2.822591162,-0.758547112,-0.758547112,-0.758547112,-0.758547112,-0.758547112,-0.758547112,-0.758547112,-0.758547112,-0.758547112,-0.758547112
6273,-146.4128478,-1.104167236,-0.668126425,-0.668126425,-0.668126425,-0.668126425,-0.668126425,-0.668126425,-0.668126425,-0.668126425,-0.668126425,-0.668126425
6274,-107.969963,-2.553430675,-0.586892587,-0.586892587,-0.586892587,-0.586892587,-0.586892587,-0.586892587,-0.586892587,-0.586892587,-0.586892587,-0.586892587
6275,-107.8063224,-1.708240787,-0.522742418,-0.522742418,-0.522742418,-0.522742418,-0.522742418,-0.522742418,-0.522742418,-0.522742418,-0.522742418,-0.522742418
6276,-107.6626952,-1.708128498,-0.48382446,-0.48382446,-0.48382446,-0.48382446,-0.48382446,-0.48382446,-0.48382446,-0.48382446,-0.48382446,-0.48382446
6277,-107.5186375,-1.707135138,-0.445020457,-0.445020457,-0.445020457,-0.445020457,-0.445020457,-0.445020457,-0.445020457,-0.445020457,-0.445020457,-0.445020457
6278,-102.8429514,-1.706847609,-0.448249206,-0.448249206,-0.448249206,-0.448249206,-0.448249206,-0.448249206,-0.448249206,-0.448249206,-0.448249206,-0.448249206
6279,-80.9581127,-1.707328617,-0.491378062,-0.491378062,-0.491378062,-0.491378062,-0.491378062,-0.491378062,-0.491378062,-0.491378062,-0.491378062,-0.491378062
6280,-125.7622503,-0.861019842,-0.583575292,-0.583575292,-0.583575292,-0.583575292,-0.583575292,-0.583575292,-0.583575292,-0.583575292,-0.583575292,-0.583575292
6281,-218.1467636,-0.860863615,-0.66943964,-0.66943964,-0.66943964,-0.66943964,-0.66943964,-0.66943964,-0.66943964,-0.66943964,-0.66943964,-0.66943964
6282,-166.6039348,-0.860629371,-0.683389851,-0.683389851,-0.683389851,-0.683389851,-0.683389851,-0.683389851,-0.683389851,-0.683389851,-0.683389851,-0.683389851
6283,-161.2549035,-1.194841638,-0.632050736,-0.632050736,-0.632050736,-0.632050736,-0.632050736,-0.632050736,-0.632050736,-0.632050736,-0.632050736,-0.632050736
6284,-243.1253916,-1.141587841,-0.570409726,-0.570409726,-0.570409726,-0.570409726,-0.570409726,-0.570409726,-0.570409726,-0.570409726,-0.570409726,-0.570409726
6285,-180.253019,-0.860354567,-0.472437359,-0.472437359,-0.472437359,-0.472437359,-0.472437359,-0.472437359,-0.472437359,-0.472437359,-0.472437359,-0.472437359
6286,-105.0075965,-0.0156,-0.36684577,-0.36684577,-0.36684577,-0.36684577,-0.36684577,-0.36684577,-0.36684577,-0.36684577,-0.36684577,-0.36684577
6287,-80.76196268,-0.86032035,-0.254714285,-0.254714285,-0.254714285,-0.254714285,-0.254714285,-0.254714285,-0.254714285,-0.254714285,-0.254714285,-0.254714285
6288,-56.65641648,-0.0156,-0.204226418,-0.204226418,-0.204226418,-0.204226418,-0.204226418,-0.204226418,-0.204226418,-0.204226418,-0.204226418,-0.204226418
6289,-61.02012423,-0.0156,-0.19258271,-0.19258271,-0.19258271,-0.19258271,-0.19258271,-0.19258271,-0.19258271,-0.19258271,-0.19258271,-0.19258271
6290,-61.18949352,-0.860320337,-0.197541018,-0.197541018,-0.197541018,-0.197541018,-0.197541018,-0.197541018,-0.197541018,-0.197541018,-0.197541018,-0.197541018
6291,-83.07472314,-0.0156,-0.240792048,-0.240792048,-0.240792048,-0.240792048,-0.240792048,-0.240792048,-0.240792048,-0.240792048,-0.240792048,-0.240792048
6292,-145.1398059,-0.860402425,-0.424326302,-0.424326302,-0.424326302,-0.424326302,-0.424326302,-0.424326302,-0.424326302,-0.424326302,-0.424326302,-0.424326302
6293,-245.3223061,-9.24602348,-0.763974523,-0.763974523,-0.763974523,-0.763974523,-0.763974523,-0.763974523,-0.763974523,-0.763974523,-0.763974523,-0.763974523
6294,-323.8400575,-8.698302967,-0.857276746,-0.857276746,-0.857276746,-0.857276746,-0.857276746,-0.857276746,-0.857276746,-0.857276746,-0.857276746,-0.857276746
6295,-247.2841471,-3.466381142,-0.832430989,-0.832430989,-0.832430989,-0.832430989,-0.832430989,-0.832430989,-0.832430989,-0.832430989,-0.832430989,-0.832430989
6296,-187.0062264,-2.275399848,-0.756432829,-0.756432829,-0.756432829,-0.756432829,-0.756432829,-0.756432829,-0.756432829,-0.756432829,-0.756432829,-0.756432829
6297,-144.7042875,-0.880894545,-0.666814275,-0.666814275,-0.666814275,-0.666814275,-0.666814275,-0.666814275,-0.666814275,-0.666814275,-0.666814275,-0.666814275
6298,-107.9671821,-2.553585644,-0.585602123,-0.585602123,-0.585602123,-0.585602123,-0.585602123,-0.585602123,-0.585602123,-0.585602123,-0.585602123,-0.585602123
6299,-107.8219973,-1.708188105,-0.521462868,-0.521462868,-0.521462868,-0.521462868,-0.521462868,-0.521462868,-0.521462868,-0.521462868,-0.521462868,-0.521462868
6300,-107.6861205,-1.708079336,-0.483149559,-0.483149559,-0.483149559,-0.483149559,-0.483149559,-0.483149559,-0.483149559,-0.483149559,-0.483149559,-0.483149559
6301,-107.5466994,-1.707089459,-0.445289017,-0.445289017,-0.445289017,-0.445289017,-0.445289017,-0.445289017,-0.445289017,-0.445289017,-0.445289017,-0.445289017
6302,-107.5393339,-1.706802912,-0.448777389,-0.448777389,-0.448777389,-0.448777389,-0.448777389,-0.448777389,-0.448777389,-0.448777389,-0.448777389,-0.448777389
