Load,ahp,boiler,chp,ar,hrar,ec,TES-H,TES-C
0.345,,,171.491964,,,,,
0.346,,,171.7202576,,,,,
0.347,,,171.947898,,,,,
0.348,,,172.1748895,,,,,
0.349,,,172.4012362,,,,,
0.35,,,172.6269423,,,,,
0.351,,,172.8520119,,,,,
0.352,,,173.0764491,,,,,
0.353,,,173.3002581,,,,,
0.354,,,173.5234429,,,,,
0.355,,,173.7460075,,,,,
0.356,,,173.967956,,,,,
0.357,,,174.1892924,,,,,
0.358,,,174.4100207,,,,,
0.359,,,174.6301449,,,,,
0.36,,,174.849669,,,,,
0.361,,,175.0685968,,,,,
0.362,,,175.2869323,,,,,
0.363,,,175.5046793,,,,,
0.364,,,175.7218419,,,,,
0.365,,,175.9384238,,,,,
0.366,,,176.1544289,,,,,
0.367,,,176.369861,,,,,
0.368,,,176.584724,,,,,
0.369,,,176.7990215,,,,,
0.37,,,177.0127575,,,,,
0.371,,,177.2259356,,,,,
0.372,,,177.4385596,,,,,
0.373,,,177.6506332,,,,,
0.374,,,177.8621601,,,,,
0.375,,,178.073144,,,,,
0.376,,,178.2835886,,,,,
0.377,,,178.4934975,,,,,
0.378,,,178.7028744,,,,,
0.379,,,178.9117228,,,,,
0.38,,,179.1200465,,,,,
0.381,,,179.3278489,,,,,
0.382,,,179.5351337,,,,,
0.383,,,179.7419044,,,,,
0.384,,,179.9481645,,,,,
0.385,,,180.1539176,,,,,
0.386,,,180.3591672,,,,,
0.387,,,180.5639167,,,,,
0.388,,,180.7681697,,,,,
0.389,,,180.9719296,,,,,
0.39,,,181.1751998,,,,,
0.391,,,181.3779838,,,,,
0.392,,,181.580285,,,,,
0.393,,,181.7821068,,,,,
0.394,,,181.9834526,,,,,
0.395,,,182.1843257,,,,,
0.396,,,182.3847295,,,,,
0.397,,,182.5846674,,,,,
0.398,,,182.7841426,,,,,
0.399,,,182.9831585,,,,,
0.4,,,183.1817184,,,,,
0.401,,,183.3798256,,,,,
0.402,,,183.5774833,,,,,
0.403,,,183.7746948,,,,,
0.404,,,183.9714633,,,,,
0.405,,,184.167792,,,,,
0.406,,,184.3636843,,,,,
0.407,,,184.5591432,,,,,
0.408,,,184.754172,,,,,
0.409,,,184.9487738,,,,,
0.41,,,185.1429518,,,,,
0.411,,,185.3367092,,,,,
0.412,,,185.530049,,,,,
0.413,,,185.7229744,,,,,
0.414,,,185.9154885,,,,,
0.415,,,186.1075944,,,,,
0.416,,,186.2992952,,,,,
0.417,,,186.490594,,,,,
0.418,,,186.6814937,,,,,
0.419,,,186.8719975,,,,,
0.42,,,187.0621084,,,,,
0.421,,,187.2518294,,,,,
0.422,,,187.4411635,,,,,
0.423,,,187.6301137,,,,,
0.424,,,187.818683,,,,,
0.425,,,188.0068743,,,,,
0.426,,,188.1946907,,,,,
0.427,,,188.382135,,,,,
0.428,,,188.5692102,,,,,
0.429,,,188.7559193,,,,,
0.43,,,188.9422651,,,,,
0.431,,,189.1282505,,,,,
0.432,,,189.3138785,,,,,
0.433,,,189.4991518,,,,,
0.434,,,189.6840735,,,,,
0.435,,,189.8686462,,,,,
0.436,,,190.052873,,,,,
0.437,,,190.2367565,,,,,
0.438,,,190.4202997,,,,,
0.439,,,190.6035053,,,,,
0.44,,,190.7863762,,,,,
0.441,,,190.9689151,,,,,
0.442,,,191.1511248,,,,,
0.443,,,191.3330081,,,,,
0.444,,,191.5145677,,,,,
0.445,,,191.6958064,,,,,
0.446,,,191.876727,,,,,
0.447,,,192.0573321,,,,,
0.448,,,192.2376245,,,,,
0.449,,,192.4176068,,,,,
0.45,,,192.5972818,,,,,
0.451,,,192.7766522,,,,,
0.452,,,192.9557207,,,,,
0.453,,,193.1344898,,,,,
0.454,,,193.3129623,,,,,
0.455,,,193.4911408,,,,,
0.456,,,193.669028,,,,,
0.457,,,193.8466264,,,,,
0.458,,,194.0239388,,,,,
0.459,,,194.2009677,,,,,
0.46,,,194.3777156,,,,,
0.461,,,194.5541853,,,,,
0.462,,,194.7303792,,,,,
0.463,,,194.9063,,,,,
0.464,,,195.0819502,,,,,
0.465,,,195.2573324,,,,,
0.466,,,195.4324491,,,,,
0.467,,,195.6073029,,,,,
0.468,,,195.7818962,,,,,
0.469,,,195.9562317,,,,,
0.47,,,196.1303117,,,,,
0.471,,,196.3041389,,,,,
0.472,,,196.4777157,,,,,
0.473,,,196.6510445,,,,,
0.474,,,196.8241279,,,,,
0.475,,,196.9969684,,,,,
0.476,,,197.1695683,,,,,
0.477,,,197.3419302,,,,,
0.478,,,197.5140564,,,,,
0.479,,,197.6859495,,,,,
0.48,,,197.8576118,,,,,
0.481,,,198.0290458,,,,,
0.482,,,198.2002538,,,,,
0.483,,,198.3712383,,,,,
0.484,,,198.5420017,,,,,
0.485,,,198.7125463,,,,,
0.486,,,198.8828746,,,,,
0.487,,,199.0529888,,,,,
0.488,,,199.2228914,,,,,
0.489,,,199.3925847,,,,,
0.49,,,199.5620711,,,,,
0.491,,,199.7313529,,,,,
0.492,,,199.9004324,,,,,
0.493,,,200.069312,,,,,
0.494,,,200.2379939,,,,,
0.495,,,200.4064805,,,,,
0.496,,,200.5747742,,,,,
0.497,,,200.7428771,,,,,
0.498,,,200.9107915,,,,,
0.499,,,201.0785199,,,,,
0.5,,,201.2460643,,,,,
0.501,,,201.4134272,,,,,
0.502,,,201.5806107,,,,,
0.503,,,201.7476171,,,,,
0.504,,,201.9144486,,,,,
0.505,,,202.0811076,,,,,
0.506,,,202.2475962,,,,,
0.507,,,202.4139166,,,,,
0.508,,,202.5800711,,,,,
0.509,,,202.7460619,,,,,
0.51,,,202.9118911,,,,,
0.511,,,203.0775611,,,,,
0.512,,,203.2430739,,,,,
0.513,,,203.4084318,,,,,
0.514,,,203.573637,,,,,
0.515,,,203.7386916,,,,,
0.516,,,203.9035977,,,,,
0.517,,,204.0683576,,,,,
0.518,,,204.2329735,,,,,
0.519,,,204.3974473,,,,,
0.52,,,204.5617814,,,,,
0.521,,,204.7259778,,,,,
0.522,,,204.8900386,,,,,
0.523,,,205.0539661,,,,,
0.524,,,205.2177622,,,,,
0.525,,,205.3814292,,,,,
0.526,,,205.5449691,,,,,
0.527,,,205.708384,,,,,
0.528,,,205.871676,,,,,
0.529,,,206.0348472,,,,,
0.53,,,206.1978997,,,,,
0.531,,,206.3608356,,,,,
0.532,,,206.523657,,,,,
0.533,,,206.6863658,,,,,
0.534,,,206.8489642,,,,,
0.535,,,207.0114543,,,,,
0.536,,,207.173838,,,,,
0.537,,,207.3361174,,,,,
0.538,,,207.4982946,,,,,
0.539,,,207.6603716,,,,,
0.54,,,207.8223504,,,,,
0.541,,,207.984233,,,,,
0.542,,,208.1460216,,,,,
0.543,,,208.307718,,,,,
0.544,,,208.4693242,,,,,
0.545,,,208.6308424,,,,,
0.546,,,208.7922744,,,,,
0.547,,,208.9536223,,,,,
0.548,,,209.1148881,,,,,
0.549,,,209.2760738,,,,,
0.55,,,209.4371812,,,,,
0.551,,,209.5982125,,,,,
0.552,,,209.7591695,,,,,
0.553,,,209.9200542,,,,,
0.554,,,210.0808687,,,,,
0.555,,,210.2416148,,,,,
0.556,,,210.4022944,,,,,
0.557,,,210.5629096,,,,,
0.558,,,210.7234623,,,,,
0.559,,,210.8839544,,,,,
0.56,,,211.0443878,,,,,
0.561,,,211.2047645,,,,,
0.562,,,211.3650864,,,,,
0.563,,,211.5253554,,,,,
0.564,,,211.6855734,,,,,
0.565,,,211.8457423,,,,,
0.566,,,212.0058641,,,,,
0.567,,,212.1659406,,,,,
0.568,,,212.3259737,,,,,
