Load,ahp,boiler,chp,ar,hrar,ec,TES-H,TES-C
0.043,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.044,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.045,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.046,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.047,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.048,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.049,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.05,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.051,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.052,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.053,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.054,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.055,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.056,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.057,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.058,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.059,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.06,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.061,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.062,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.063,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.064,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.065,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.066,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.067,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.068,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.069,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.07,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.071,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.072,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.073,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.074,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.075,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.076,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.077,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.078,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.079,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.08,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.081,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.082,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.083,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.084,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.085,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.086,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.087,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.088,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.089,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.09,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.091,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.092,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.093,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.094,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.095,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.096,,182.42425,265.6961834,291.0141063,212.1771662,,,
0.097,,182.42425,265.6961834,291.0141063,212.1771662,,,
