,commercial,domestic
91,-315.2602078,-17.4958677
92,-324.4927357,-16.17416021
93,-303.5307612,-14.71397486
94,-222.6629331,-11.88609387
95,-154.8669223,-9.08137038
96,-114.5349659,-6.3112984
97,-107.9495648,-5.1965097
98,-100.307454,-4.7626818
99,-100.2184681,-4.6424207
100,-100.4737816,-4.61760275
101,-123.197306,-5.13042251
102,-206.9839478,-7.1130585
103,-286.7126458,-9.76262726
104,-322.6687714,-9.53929254
105,-338.135877,-8.10887829
106,-328.8374791,-8.06663701
107,-330.7625634,-8.23009346
108,-330.1548807,-8.08095939
109,-314.2170467,-7.85479598
110,-302.4063968,-7.86138211
111,-310.7438343,-8.4980194
112,-335.1418828,-10.83798346
113,-299.0865444,-15.12456395
114,-315.2057431,-17.66626287
115,-315.4521389,-17.4958677
116,-325.2435973,-16.17416021
117,-303.9048157,-14.71397486
118,-222.6179897,-11.88609387
119,-154.744409,-9.08137038
120,-114.6541381,-6.3112984
121,-107.2147142,-5.1965097
122,-99.86347152,-4.7626818
123,-100.2389358,-4.6424207
124,-100.0474296,-4.61760275
125,-123.1710926,-5.13042251
126,-206.8977883,-7.1130585
127,-287.0018037,-9.76262726
128,-322.7111236,-9.53929254
129,-338.056997,-8.10887829
130,-328.6231977,-8.06663701
131,-330.5786464,-8.23009346
132,-330.0722672,-8.08095939
133,-314.1845295,-7.85479598
134,-302.3353214,-7.86138211
135,-310.6783741,-8.4980194
136,-335.0500987,-10.83798346
137,-298.9622167,-15.12456395
138,-315.0667869,-17.66626287
139,-315.2914879,-17.4958677
140,-324.5425188,-16.17416021
141,-303.6451672,-14.71397486
142,-222.1227414,-11.88609387
143,-154.744409,-9.08137038
144,-111.5679451,-6.37703523
145,-111.3875845,-5.23597994
146,-94.87810374,-4.78879418
147,-94.6865976,-4.65607474
148,-94.87810374,-4.6443143
149,-99.6847776,-5.17138943
150,-174.7657215,-7.21931362
151,-224.6233781,-9.97424088
152,-300.1129097,-9.86366555
153,-307.8632809,-8.55918888
154,-293.9151353,-8.5757993
155,-287.0605913,-8.75498106
156,-285.7185652,-8.55906445
157,-265.1350389,-8.29067631
158,-228.4099343,-8.25263783
159,-235.5946592,-8.86860913
160,-257.2701523,-11.19716265
161,-216.69609,-15.47808325
162,-277.6210207,-18.00936602
163,-267.3400586,-17.83831525
164,-278.6472808,-16.52271391
165,-272.9775037,-15.07004344
166,-223.9112292,-12.16902599
167,-153.78548,-9.23671883
168,-120.5727272,-6.37703523
169,-121.1472456,-5.23597994
170,-103.4993402,-4.78879418
171,-103.8823524,-4.65607474
172,-104.0738586,-4.6443143
173,-108.8805324,-5.17138943
174,-165.5494842,-7.21931362
175,-218.0898497,-9.97424088
176,-258.3089605,-9.86366555
177,-254.3943644,-8.55918888
178,-250.9657319,-8.5757993
179,-246.4924915,-8.75498106
180,-245.7654131,-8.55906445
181,-218.522813,-8.29067631
182,-210.2203697,-8.25263783
183,-218.5763511,-8.86860913
184,-240.4510227,-11.19716265
185,-207.4545731,-15.47808325
186,-269.1912905,-18.00936602
187,-268.2975893,-17.83831525
188,-288.6090603,-16.52271391
189,-264.7392796,-15.07004344
190,-215.4814989,-12.16902599
191,-154.7430107,-9.23671883
192,-115.3009904,-6.3112984
193,-108.141071,-5.1965097
194,-100.0474296,-4.7626818
195,-100.2389358,-4.6424207
196,-100.0474296,-4.61760275
197,-123.1710926,-5.13042251
198,-209.1772427,-7.1130585
199,-286.6990554,-9.76262726
