,commercial,domestic
145,-112.2853345,-54.89814276
146,-114.731909,-55.75696387
147,-113.6728013,-55.95429127
148,-139.6857532,-56.5898433
149,-161.7655853,-58.1911927
150,-315.2213136,-59.4472975
151,-544.3086888,-63.98283415
152,-654.0482867,-59.45046481
153,-529.0736686,-58.28960523
154,-457.919416,-66.37785557
155,-417.7071071,-58.31244241
156,-368.0178917,-52.86303452
157,-363.750543,-50.42990358
158,-375.7173511,-49.1849514
159,-379.1855359,-48.545409
160,-353.3932575,-47.93697288
161,-377.3330439,-45.56728737
162,-296.5648634,-43.20762306
163,-338.7517473,-42.06507796
164,-330.7909871,-41.43905724
165,-336.3507412,-41.19875399
166,-430.1719531,-42.66241119
167,-322.6802451,-43.29522187
168,-130.7370694,-44.09479212
169,-110.2399819,-45.265104
170,-103.9008077,-47.17234386
171,-104.0329269,-47.69616689
172,-133.123618,-48.39887875
173,-152.319189,-50.13461572
174,-204.3972141,-55.53573473
175,-402.7137816,-55.86102918
176,-526.7089648,-50.51484446
177,-410.6870643,-46.88381455
178,-347.0581308,-53.18859692
179,-284.4479799,-44.59459463
180,-230.3471476,-40.92334872
181,-238.3145174,-38.22163119
182,-242.6688475,-36.81156605
183,-245.8350556,-35.02035476
184,-212.24206,-34.19867183
185,-232.3142164,-40.39210797
186,-255.8084164,-32.88369759
187,-327.894976,-30.92570589
188,-320.6468783,-30.5038269
189,-306.1172389,-30.98172356
190,-376.9916663,-31.26479848
191,-298.4908018,-33.70938938
192,-129.6519442,-34.73630222
193,-104.3800449,-36.03141088
194,-104.9570691,-36.48877872
195,-100.2666761,-37.65954576
196,-122.7151589,-38.14989828
197,-191.5538783,-40.3583603
198,-442.8376535,-45.58922166
199,-540.9797522,-45.93542775
200,-434.2090886,-41.40757149
201,-337.2130346,-35.56761067
202,-267.303974,-39.10650846
203,-226.4215743,-32.90824229
204,-214.7557498,-26.70412347
205,-184.8860506,-22.50729204
206,-185.5897882,-21.21238157
207,-191.7027644,-20.19571959
