,commercial
670,-214.4992479
671,-168.8350063
672,-135.8224619
673,-119.2843177
674,-110.5322104
675,-104.7984651
676,-102.4512681
677,-107.9071359
678,-131.2167835
679,-190.4260441
680,-259.587857
681,-228.7291228
682,-162.0018659
683,-138.0402949
684,-124.04876
685,-125.5564516
686,-130.4824102
687,-142.4364426
688,-129.451527
689,-143.379733
690,-174.343052
691,-212.3485429
692,-234.4430651
693,-231.5776803
694,-223.5320341
695,-161.6726643
696,-122.0523982
697,-102.4489004
698,-101.782733
699,-97.01002061
700,-100.8028116
701,-121.2853075
702,-191.2384305
703,-249.2494697
704,-187.6657784
705,-181.1907884
706,-153.5815989
707,-140.5116852
708,-145.2340386
709,-135.5882186
710,-140.4607352
711,-128.0931714
712,-118.5969281
713,-145.7033896
714,-189.9506567
715,-189.2130349
716,-205.7903887
717,-239.1129726
718,-191.4758158
719,-132.9488374
720,-110.6010958
721,-97.45972575
722,-91.46011418
723,-88.26952118
724,-91.94121436
725,-113.254723
726,-183.2025883
727,-240.4014394
728,-177.5755815
729,-147.0719357
730,-112.9331721
731,-97.06622476
732,-94.88604917
733,-96.08067654
734,-101.7652854
735,-86.33012992
736,-85.22765971
737,-109.4646006
738,-155.3752312
739,-163.1849651
740,-181.3232541
741,-199.7508788
742,-155.2842207
743,-113.4906776
744,-94.19305335
745,-82.22020453
746,-77.4263964
747,-74.87324465
748,-80.30037666
749,-102.5397933
750,-171.4559184
751,-228.1301361
752,-181.9109698
753,-165.7658228
754,-144.374464
755,-141.5150128
756,-129.8208473
757,-132.2727591
758,-152.1162584
759,-145.070034
760,-123.9503448
761,-145.4138968
762,-188.7990436
763,-187.8540989
764,-206.5552298
765,-241.1679687
766,-189.3141035
767,-131.2304412
768,-108.2048417
769,-93.35894703
770,-87.14191789
771,-83.21962461
772,-85.3572012
773,-106.2198714
774,-177.6337038
775,-235.5165385
776,-191.604161
777,-200.216162
778,-190.8985508
779,-154.1781321
780,-148.2107798
781,-142.2716324
782,-134.5099135
783,-135.9449805
784,-128.7675043
785,-154.2311278
786,-201.3990831
787,-202.1342117
788,-219.7709569
789,-253.663783
790,-203.9006352
791,-143.4423053
792,-121.4176661
793,-107.5412697
794,-101.6103717
795,-95.24861701
796,-100.1346943
797,-123.8629102
798,-194.2156023
799,-251.8499492
800,-204.3090545
801,-189.2404747
802,-194.2207885
803,-194.3442218
804,-195.8603351
805,-184.9492989
806,-214.07304
807,-225.18554
808,-172.1362847
809,-177.4390863
810,-218.1852103
811,-209.1475025
812,-222.6258331
813,-257.16707
814,-204.7087955
815,-143.3867792
816,-119.3474141
817,-106.0321535
818,-97.42806376
819,-92.41162873
820,-96.3976843
821,-99.76560668
822,-119.4023065
823,-179.8238608
824,-264.5997777
825,-264.0836698
826,-260.8262479
827,-258.9891512
828,-188.2849166
829,-166.3553187
830,-179.1846542
831,-160.6872294
832,-144.330291
833,-159.1815939
834,-187.1005044
835,-214.2716009
836,-232.0688419
837,-234.8350721
838,-225.8986241
839,-161.8413908
840,-124.8485485
841,-107.5289722
842,-98.68106753
843,-94.44296998
844,-97.9029789
845,-103.6380481
846,-126.5408376
847,-185.1009626
848,-251.7564442
849,-208.9897496
850,-151.5806624
851,-116.2263712
852,-98.59084936
853,-109.6005166
854,-121.6277628
855,-108.6131135
856,-99.46729626
857,-125.1781647
858,-155.0972173
859,-186.9411071
860,-207.5584885
861,-211.7337162
862,-209.9360162
863,-154.5455918
864,-119.599024
865,-100.4153627
866,-92.68246385
867,-90.0820783
868,-96.76105643
869,-120.2133607
870,-189.9123446
871,-244.1201171
872,-183.7102108
873,-158.6481593
874,-129.2780626
875,-111.0257574
876,-103.4210071
877,-96.25317148
878,-98.77642241
879,-99.12852432
880,-101.3210363
881,-132.4347105
882,-177.7804067
883,-177.6629316
884,-196.6339975
885,-232.4786552
886,-187.1012418
887,-129.4108781
888,-104.6323434
889,-91.61786453
890,-86.30890822
891,-80.40960498
892,-88.85522469
893,-112.8752288
894,-181.3145486
895,-238.5154234
896,-180.0628803
897,-160.3596624
898,-124.5687316
899,-106.8746578
900,-107.3356913
901,-105.9244076
902,-105.4781804
903,-104.1087109
904,-103.2480253
905,-132.521023
906,-174.0488316
907,-160.5493484
908,-174.7352367
909,-207.7139207
910,-159.2461788
911,-102.3373211
912,-93.77604552
913,-86.05327657
914,-83.90616641
915,-67.69884012
916,-71.29270811
917,-105.2757535
918,-177.0734992
919,-233.6345625
920,-178.0160673
921,-148.0380251
922,-117.9979231
923,-113.3848019
924,-113.8531983
925,-137.2393397
926,-126.6955444
927,-126.4790793
928,-114.8302694
929,-140.1487322
930,-183.3705879
931,-179.5231285
932,-195.8505098
933,-229.0975547
934,-180.8490895
935,-122.4547661
936,-100.7725182
937,-89.06039522
938,-83.82056475
939,-80.09246527
940,-84.89146954
941,-108.586278
942,-178.359916
943,-234.4831015
944,-172.908682
945,-147.8445665
946,-134.4130209
947,-130.4302881
948,-132.2105392
949,-161.4513616
950,-164.7687603
951,-196.1301082
952,-153.0826449
953,-132.6934944
954,-193.3077344
955,-199.5450781
956,-220.112614
957,-255.6533333
958,-201.6652226
959,-143.3594583
960,-121.4405458
961,-105.8169069
962,-98.70537843
963,-94.39510052
964,-96.63843963
965,-115.1382574
