,domestic,commercial
4317,63.6195125,63.6195125
4318,63.4658329,63.4658329
4319,63.3416261,63.3416261
4320,63.2158404,63.2158404
4321,63.0337406,63.0337406
4322,62.8147998,62.8147998
4323,62.5953327,62.5953327
4324,62.7974319,62.7974319
4325,63.8074016,63.8074016
4326,64.8752643,64.8752643
4327,65.7415541,65.7415541
4328,66.4515328,66.4515328
4329,66.9673068,66.9673068
4330,67.3083492,67.3083492
4331,67.6299185,67.6299185
4332,67.8304388,67.8304388
4333,67.8672798,67.8672798
4334,67.8067553,67.8067553
4335,67.5262374,67.5262374
4336,67.1678271,67.1678271
4337,66.8594153,66.8594153
4338,66.47469,66.47469
4339,65.7494486,65.7494486
4340,64.8231606,64.8231606
4341,64.2973869,64.2973869
4342,63.8074016,63.8074016
4343,63.4268867,63.4268867
4344,63.1153171,63.1153171
4345,62.9069023,62.9069023
4346,62.8574301,62.8574301
4347,62.9295332,62.9295332
4348,63.3426787,63.3426787
4349,64.4042258,64.4042258
4350,65.4594573,65.4594573
4351,66.6231066,66.6231066
4352,67.3194015,67.3194015
4353,67.7941241,67.7941241
4354,68.1783231,68.1783231
4355,68.4098951,68.4098951
4356,68.4025269,68.4025269
4357,68.2967406,68.2967406
4358,68.2525314,68.2525314
4359,68.1077989,68.1077989
4360,67.8888581,67.8888581
4361,67.5636047,67.5636047
4362,66.979938,66.979938
4363,65.7283966,65.7283966
4364,64.5158014,64.5158014
4365,63.980028,63.980028
4366,63.5068843,63.5068843
4367,63.143211,63.143211
4368,62.9405855,62.9405855
4369,62.8395359,62.8395359
4370,62.7037505,62.7037505
4371,62.6300685,62.6300685
4372,62.8726928,62.8726928
4373,63.9389766,63.9389766
4374,65.0505222,65.0505222
4375,66.169436,66.169436
4376,67.0683564,67.0683564
4377,67.8788584,67.8788584
4378,68.5635747,68.5635747
4379,69.0440866,69.0440866
4380,69.3156574,69.3156574
4381,69.3730241,69.3730241
4382,69.2793427,69.2793427
4383,69.1461888,69.1461888
4384,68.911459,68.911459
4385,68.4898927,68.4898927
4386,67.6514968,67.6514968
4387,66.8567838,66.8567838
4388,66.4215337,66.4215337
4389,66.2457495,66.2457495
4390,66.0304928,66.0304928
4391,65.7789214,65.7789214
4392,65.4599836,65.4599836
4393,64.9778928,64.9778928
4394,64.5052754,64.5052754
4395,64.1868639,64.1868639
4396,64.3626481,64.3626481
4397,64.969472,64.969472
4398,66.074702,66.074702
4399,67.2704556,67.2704556
4400,68.1420084,68.1420084
4401,68.8456715,68.8456715
4402,69.4161807,69.4161807
4403,69.8793247,69.8793247
4404,70.2619448,70.2619448
4405,70.5198318,70.5198318
4406,70.6224603,70.6224603
4407,70.5687777,70.5687777
4408,70.3451002,70.3451002
4409,69.9203761,69.9203761
4410,69.1725038,69.1725038
4411,68.0309591,68.0309591
4412,67.0657249,67.0657249
4413,66.5846867,66.5846867
4414,66.0841754,66.0841754
4415,65.6236629,65.6236629
4416,65.2268327,65.2268327
4417,64.8789484,64.8789484
4418,64.5510635,64.5510635
4419,64.2526514,64.2526514
4420,64.4805393,64.4805393
4421,65.1715712,65.1715712
4422,66.2441706,66.2441706
4423,67.2983495,67.2983495
4424,68.2293742,68.2293742
4425,69.100927,69.100927
4426,69.8598516,69.8598516
4427,70.4245715,70.4245715
4428,70.7877185,70.7877185
4429,70.9308721,70.9308721
4430,70.8487693,70.8487693
4431,70.4666755,70.4666755
4432,69.879851,69.879851
4433,69.1909243,69.1909243
4434,68.4788404,68.4788404
4435,67.611498,67.611498
4436,66.7841544,66.7841544
4437,66.3741667,66.3741667
4438,66.0610182,66.0610182
4439,65.9068123,65.9068123
4440,65.8862866,65.8862866
4441,65.9189172,65.9189172
4442,65.9736524,65.9736524
4443,66.0183879,66.0183879
4444,66.0710179,66.0710179
4445,66.1552259,66.1552259
4446,66.3583777,66.3583777
4447,66.8352055,66.8352055
4448,67.3857153,67.3857153
4449,67.9783291,67.9783291
4450,68.6146258,68.6146258
4451,68.9830358,68.9830358
4452,68.8477767,68.8477767
4453,68.7998834,68.7998834
4454,68.6425197,68.6425197
4455,68.3188452,68.3188452
4456,68.0614845,68.0614845
4457,67.7714932,67.7714932
4458,67.374663,67.374663
4459,66.9057297,66.9057297
4460,66.5388986,66.5388986
4461,66.3362731,66.3362731
4462,66.1289109,66.1289109
4463,65.9057597,65.9057597
4464,65.6989238,65.6989238
4465,65.4989298,65.4989298
4466,65.3836701,65.3836701
4467,65.2794627,65.2794627
4468,65.2584107,65.2584107
4469,65.3689337,65.3689337
4470,65.4657729,65.4657729
4471,66.0420714,66.0420714
4472,66.8883618,66.8883618
4473,67.2615085,67.2615085
4474,67.7735984,67.7735984
4475,68.1120093,68.1120093
4476,68.164113,68.164113
4477,68.1809546,68.1809546
4478,68.1525344,68.1525344
4479,68.1235879,68.1235879
4480,68.069379,68.069379
4481,67.8193865,67.8193865
4482,67.2078259,67.2078259
4483,66.2804853,66.2804853
4484,65.5099821,65.5099821
4485,65.1410458,65.1410458
4486,64.716848,64.716848
4487,64.2947554,64.2947554
4488,63.8552949,63.8552949
4489,63.4316234,63.4316234
4490,63.190578,63.190578
4491,63.0842654,63.0842654
4492,63.3263634,63.3263634
4493,64.0579204,64.0579204
4494,65.2573581,65.2573581
4495,66.3704826,66.3704826
4496,67.0725668,67.0725668
4497,67.6209714,67.6209714
4498,68.0893784,68.0893784
4499,68.4714722,68.4714722
4500,68.690413,68.690413
4501,68.5446279,68.5446279
4502,68.2983195,68.2983195
4503,67.9035945,67.9035945
4504,67.6036035,67.6036035
4505,67.343085,67.343085
4506,66.932571,66.932571
4507,66.2183819,66.2183819
4508,65.5831378,65.5831378
4509,65.2226223,65.2226223
4510,64.9636827,64.9636827
4511,64.7384263,64.7384263
4512,64.5121173,64.5121173
4513,64.2842294,64.2842294
4514,64.0758146,64.0758146
4515,63.8673998,63.8673998
4516,64.0568678,64.0568678
4517,64.8573701,64.8573701
4518,65.7268177,65.7268177
4519,66.6846837,66.6846837
4520,67.1994051,67.1994051
4521,67.5688677,67.5688677
4522,67.8446489,67.8446489
4523,67.932541,67.932541
4524,67.9699083,67.9699083
4525,67.9246465,67.9246465
4526,67.8504382,67.8504382
4527,67.6372867,67.6372867
4528,67.3951887,67.3951887
4529,67.0199368,67.0199368
4530,66.5267937,66.5267937
4531,65.8194465,65.8194465
4532,65.3189352,65.3189352
4533,65.0373647,65.0373647
4534,64.6805333,64.6805333
4535,64.3100181,64.3100181
4536,64.1389706,64.1389706
4537,64.1105504,64.1105504
4538,63.9789754,63.9789754
4539,63.832664,63.832664
4540,63.8721365,63.8721365
4541,64.2600196,64.2600196
4542,64.9899977,64.9899977
4543,65.8999704,65.8999704
4544,66.7578394,66.7578394
4545,67.3499269,67.3499269
4546,67.7183369,67.7183369
4547,67.9104364,67.9104364
4548,68.05359,68.05359
4549,68.1988488,68.1988488
4550,68.1977962,68.1977962
4551,67.9935918,67.9935918
4552,67.700969,67.700969
4553,67.3036125,67.3036125
4554,66.8488893,66.8488893
4555,66.3773245,66.3773245
4556,65.9441796,65.9441796
4557,65.6394519,65.6394519
4558,65.4036695,65.4036695
4559,65.148414,65.148414
4560,64.9473674,64.9473674
4561,64.7715832,64.7715832
4562,64.616851,64.616851
4563,64.4631714,64.4631714
4564,64.4236989,64.4236989
4565,64.6784281,64.6784281
4566,65.1626241,65.1626241
4567,65.7194495,65.7194495
4568,66.2489073,66.2489073
4569,66.6478427,66.6478427
4570,66.9562545,66.9562545
4571,67.1583537,67.1583537
4572,67.2562455,67.2562455
4573,67.258877,67.258877
4574,67.1825635,67.1825635
4575,67.0230946,67.0230946
4576,66.7615235,66.7615235
4577,66.3999554,66.3999554
4578,65.9278643,65.9278643
4579,65.3447239,65.3447239
4580,64.7884248,64.7884248
4581,64.5336956,64.5336956
4582,64.3631744,64.3631744
4583,64.2579144,64.2579144
4584,64.1594963,64.1594963
4585,64.1105504,64.1105504
4586,64.1937058,64.1937058
4587,64.2258101,64.2258101
