,domestic,commercial
7152,0,0
7153,0,0
7154,0,0
7155,0,0
7156,0,0
7157,0,0
7158,0,0
7159,0.012560223,0.012560223
7160,0.050300161,0.050300161
7161,0.025144331,0.025144331
7162,0.039649677,0.039649677
7163,0.039192308,0.039192308
7164,0.039940863,0.039940863
7165,0.036707695,0.036707695
7166,0.079156908,0.079156908
7167,0.061867494,0.061867494
7168,0.017456781,0.017456781
7169,0,0
7170,0,0
7171,0,0
7172,0,0
7173,0,0
7174,0,0
7175,0,0
7176,0,0
7177,0,0
7178,0,0
7179,0,0
7180,0,0
7181,0,0
7182,0,0
7183,0.027435372,0.027435372
7184,0.166847261,0.166847261
7185,0.307716342,0.307716342
7186,0.414842765,0.414842765
7187,0.480318082,0.480318082
7188,0.503946378,0.503946378
7189,0.431257243,0.431257243
7190,0.33630987,0.33630987
7191,0.196716771,0.196716771
7192,0.037529384,0.037529384
7193,0,0
7194,0,0
7195,0,0
7196,0,0
7197,0,0
7198,0,0
7199,0,0
7200,0,0
7201,0,0
7202,0,0
7203,0,0
7204,0,0
7205,0,0
7206,0,0
7207,0.026753573,0.026753573
7208,0.165758262,0.165758262
7209,0.310946528,0.310946528
7210,0.418905957,0.418905957
7211,0.477235765,0.477235765
7212,0.491477723,0.491477723
7213,0.423344245,0.423344245
7214,0.325673066,0.325673066
7215,0.193532105,0.193532105
7216,0.046722465,0.046722465
7217,0,0
7218,0,0
7219,0,0
7220,0,0
7221,0,0
7222,0,0
7223,0,0
7224,0,0
7225,0,0
7226,0,0
7227,0,0
7228,0,0
7229,0,0
7230,0,0
7231,0.005036847,0.005036847
7232,0.082847913,0.082847913
7233,0.104283349,0.104283349
7234,0.060115995,0.060115995
7235,0.052016512,0.052016512
7236,0.085634521,0.085634521
7237,0.030298185,0.030298185
7238,0.028996822,0.028996822
7239,0.020546365,0.020546365
7240,0.007012562,0.007012562
7241,0,0
7242,0,0
7243,0,0
7244,0,0
7245,0,0
7246,0,0
7247,0,0
7248,0,0
7249,0,0
7250,0,0
7251,0,0
7252,0,0
7253,0,0
7254,0,0
7255,0.020693055,0.020693055
7256,0.09583393,0.09583393
7257,0.152136534,0.152136534
7258,0.409978098,0.409978098
7259,0.343846157,0.343846157
7260,0.104232746,0.104232746
7261,0.112557466,0.112557466
7262,0.036537208,0.036537208
7263,0.056451037,0.056451037
7264,0.031682258,0.031682258
7265,0,0
7266,0,0
7267,0,0
7268,0,0
7269,0,0
7270,0,0
7271,0,0
7272,0,0
7273,0,0
7274,0,0
7275,0,0
7276,0,0
7277,0,0
7278,0,0
7279,0.009074358,0.009074358
7280,0.080810138,0.080810138
7281,0.21384907,0.21384907
